NOVUS Program Words and Phrase List,,
,,
XML Tag,English,Armenian
ppeGross_lbl,"Property, Plant and Equipment - Gross",Հայաստան
accumDep_lbl,Accumulated Depreciation,Հայաստան
ppeNet_lbl,"Property, Plant and Equipment - Net",Հայաստան
totalAssets_lbl,Total Assets,Հայաստան
liabilities_lbl,LIABILITIES,Հայաստան
ap_lbl,Accounts Payable,Հայաստան
stf_lbl,Short Term Financing,Հայաստան
LoC_lbl,Line of Credit,Հայաստան
currentLTD_lbl,Current Portion of Long Term Debt,Հայաստան
totalCL_lbl,Total Current Liabilities,Հայաստան
ltd_lbl,Long Term Debt,Հայաստան
totalLiabilities_lbl,Total Liabilities,Հայաստան
equity_lbl,EQUITY,Հայաստան
commonStock_lbl,Common Stock,Հայաստան
share_lbl,Share,Հայաստան
capitalSurplus_lbl,Capital Surplus,Հայաստան
retainedEarnings_lbl,Retained Earnings,Հայաստան
totalEquity_lbl,Total Equity,Հայաստան
totalLiabEquity_lbl,Total Liabilities & Equity,Հայաստան
shareInfo_lbl,Share Information,Հայաստան
commonSharesOut_lbl,Common Shares Outstanding,Հայաստան
actual_lbl,Actual,Հայաստան
forecast_lbl,Forecast,Հայաստան
opActivities_lbl,OPERATING ACTIVITIES,Հայաստան
netIncome_lbl,Net Income,Հայաստան
depreciation_lbl,Depreciation,Հայաստան
chgInAR_lbl,Change in Receivables,Հայաստան
chgInInv_lbl,Change in Inventory,Հայաստան
chgInAP_lbl,Change in Payables,Հայաստան
NetCashFlowOps_lbl,Net Cash Flow From Operating Activities,Հայաստան
investingActivities_lbl,INVESTING ACTIVITIES,Հայաստան
capExp_lbl,Capital Expenditures,Հայաստան
addGFA_lbl,Additions to General Fixed Assets,Հայաստան
addTrucks_lbl,Additions to Trucks,Հայաստան
addMach_lbl,Additions to Machinery,Հայաստան
netCashFlowInv_lbl,Net Cash Flow From Investment Activities,Հայաստան
FinancingActivities_lbl,FINANCING ACTIVITIES,Հայաստան
chgShortTermFin_lbl,Change in Short Term Financing,Հայաստան
chgShortTermLoC_lbl,Change in Line of Credit,Հայաստան
incLTD_lbl,Increase in Long-Term Debt,Հայաստան
decLTD_lbl,Decrease in Long-Term Debt,Հայաստան
proceedsFromStock_lbl,Proceeds From Stock Issuance,Հայաստան
cashDivPaid_lbl,Cash Dividends Paid,Հայաստան
netCashFlowFin_lbl,Net Cash Flow From Financing Activities,Հայաստան
netCashFlowAll_lbl,Net Cash Flow From All Activities,Հայաստան
begCashBal_lbl,BEGINNING CASH BALANCE,Հայաստան
endCashBal_lbl,ENDING CASH BALANCE,Հայաստան
financialRatios_lbl,Financial Ratios,Հայաստան
y2yGrowth_lbl,Year to Year Growth,Հայաստան
grossMargin_lbl,Gross Margin,Հայաստան
SGAofSales_lbl,SG&A as a %'age of Sales,Հայաստան
EBITDAOpMarg_lbl,Operating Margin (ex. D&A),Հայաստան
EBITOpMarg_lbl,Operating Margin (inc. D&A),Հայաստան
taxRate_lbl,Tax Rate (Taxes / OM),Հայաստան
netProfMarg_lbl,Net Profit Margin,Հայաստան
quickRatio_lbl,Quick Ratio,Հայաստան
cashRatio_lbl,Cash Ratio,Հայաստան
daysInvOut_lbl,Day Inventory Outstanding,Հայաստան
daysSalesOut_lbl,Days Sales Outstanding,Հայաստան
daysPayablesOut_lbl,Days Payables Outstanding,Հայաստան
ccc_lbl,Cash Conversion Cycle,Հայաստան
roa_lbl,ROA,Հայաստան
roe_lbl,ROE,Հայաստան
roi_lbl,ROI,Հայաստան
estIR_lbl,Estimated Interest Rate,Հայաստան
revenue_lbl,Revenue,Հայաստան
totalRevenue_lbl,Total Revenue,Հայաստան
cogs_lbl,Cost of Goods Sold,Հայաստան
totalCogs_lbl,Total Cost of Goods Sold,Հայաստան
invSpoilExp_lbl,Inventory Spoilage Expense,Հայաստան
overProdExp_lbl,Overproduction Expense,Հայաստան
adjCogs_lbl,Adjusted COGS,Հայաստան
totalAdjCogs_lbl,Total Adjusted COGS,Հայաստան
grossIncome_lbl,Gross Income,Հայաստան
totalGrossIncome_lbl,Total Gross Income,Հայաստան
grossMargin_lbl,Gross Margin,Հայաստան
totalGrossMargin_lbl,Total Gross Margin,Հայաստան
opExp_lbl,Operating Expenses,Հայաստան
totalOpExp_lbl,Total Operating Expenses,Հայաստան
salaryWages_lbl,Salary and Wages,Հայաստան
rent_lbl,Rent,Հայաստան
utilities_lbl,Utilities ,Հայաստան
fuelExp_lbl,Fuel Expense,Հայաստան
marketingExp_lbl,Marketing Expense,Հայաստան
prodDevExp_lbl,Production Development Expense,Հայաստան
otherExp_lbl,Other Expenses,Հայաստան
ebitda_lbl,EBITDA  ,Հայաստան
depAmt_lbl,Depreciation & Amortization,Հայաստան
ebit_lbl,EBIT,Հայաստան
intIncome_lbl,Interest Income,Հայաստան
intExp_lbl,Interest Expense,Հայաստան
ebt_lbl,EBT,Հայաստան
taxes_lbl,Taxes,Հայաստան
sharesOut_lbl,Shares Outstanding,Հայաստան
eps_lbl,EPS,Հայաստան
rental_lbl,Rental Costs,Հայաստան
rawMat_lbl,Raw Materials Storage,Հայաստան
brewing_lbl,Brewing Floor Space,Հայաստան
finishedGoods_lbl,Finished Goods Storage  ,Հայաստան
percOfOutput_lbl,Percent of Annual Output,Հայաստան
feetNeeded_lbl,Square Feet Needed,Հայաստան
costPerFoot_lbl,Cost per Square Foot,Հայաստան
totalRent_lbl,Total Annual Rent,Հայաստան
amountBorrowed_lbl,Amount Borrowed,Հայաստան
interestRate_lbl,Interest Rate,Հայաստան
paybackPeriod_lbl,Payback Period,Հայաստան
years_lbl,Years,Հայաստան
equity_title,Equity,Հայաստան
equityAmount_lbl,Amount of Equity,Հայաստան
shares_lbl,Number of Shares,Հայաստան
shortTermDebt_lbl,Short Term Debt,Հայաստան
borrowLimit_lbl,Borrowing Limit,Հայաստան
drawdown_lbl,Drawdown,Հայաստան
capExp_title,Total Capital Expenditures,Հայաստան
totalME_lbl,Total Manufacturing Equipment Purchases,Հայաստան
totalPE_lbl,Total Packaging Equipment Purchases,Հայաստան
totalCP_lbl,Total Capital Purchases,Հայաստան
position_lbl,Position,Հայաստան
quantity_lbl,Quantity,Հայաստան
totAnnualCostPP_lbl,Annual Cost Per Person,Հայաստան
totAnnualCost_lbl,Total Annual Cost,Հայաստան
totHrCost_lbl,Total HR Cost,Հայաստան
fcastRev_lbl,Forecasted Revenue,Հայաստան
percOfRev_lbl,Percent of Revenue,Հայաստան
amount_lbl,Amount,Հայաստան
totalAmt_lbl,Total Other Spending,Հայաստան
machine_lbl,Machine,Հայաստան
maxCycles_lbl,Maximum Cycles,Հայաստան
cycles_lbl,Cycles,Հայաստան
prodCycles_lbl,Production Cycles,Հայաստան
totAle_lbl,Total Ale Production,Հայաստան
totLager_lbl,Total Lager Production,Հայաստան
liters_lbl,Liters,Հայաստան
mrktShare_lbl,Market Share,Հայաստան
abrvLit_lbl,L,Հայաստան
packaging_lbl,Packaging,Հայաստան
total_lbl,Total,Հայաստան
priceQuality_lbl,Prices and Quality,Հայաստան
ingredientQuality_lbl,Ingredient Quality,Հայաստան
price_lbl,Price,Հայաստան
unit_lbl,Unit ,Հայաստան
decisions_lbl,Decisions,Հայաստան
finances_lbl,Forecasted Finances,Հայաստան
canResetMsg,Password to Reset,Հայաստան
translating_lbl,Translating,Հայաստան
thisRoundDec_lbl,This round's decisions in bold.,Հայաստան
annualRent_lbl,Annual Rent,Հայաստան
packagingEquip_lbl,Packaging Equipment,Հայաստան
manufacturingEquip_lbl,Manufacturing Equipment,Հայաստան
kegging_lbl,Kegging Machine,Հայաստան
bottling_lbl,Bottling Machine,Հայաստան
canning_lbl,Canning Machine,Հայաստան
totalProduction_lbl,Total Production,Հայաստան
